,İlan No,İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Motor Hacmi,Motor Gücü,Çekiş,Ort. Yakıt Tüketimi,Yakıt Deposu,Boya-değişen,Takasa Uygun,Kimden,TL
1595,20832331,23 Ağustos 2022,Fiat,Palio,1.6 HL,1999,213.000 km,Düz,LPG & Benzin,Hatchback/5,1581 cc,100 hp,Önden Çekiş,"8,3 lt",51 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,116.500
1596,20832559,23 Ağustos 2022,Nissan,Note,1.5 dCi Tekna,2009,156.861 km,Düz,Dizel,Hatchback/5,1461 cc,86 hp,Önden Çekiş,"5,1 lt",46 lt,2 değişen,Takasa Uygun Değil,Sahibinden,270.000
1597,20830829,23 Ağustos 2022,Fiat,Punto,EVO 1.3 Multijet Dynamic,2011,250.000 km,Düz,Dizel,Hatchback/5,1248 cc,75 hp,Önden Çekiş,"4,1 lt",45 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,227.000
1598,20832520,23 Ağustos 2022,Volkswagen,Polo,1.0 Comfortline,2017,62.500 km,Düz,Benzin,Hatchback/5,999 cc,95 hp,Önden Çekiş,"4,4 lt",40 lt,1 boyalı,Takasa Uygun,Sahibinden,485.000
1599,20829525,23 Ağustos 2022,Hyundai,Accent Era,1.5 CRDi-VGT Team,2009,220.000 km,Düz,Dizel,Sedan,1493 cc,110 hp,Önden Çekiş,"4,6 lt",45 lt,"1 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden,220.000
1600,20830248,23 Ağustos 2022,Peugeot,301,1.6 HDi Active,2016,190.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,"4,3 lt",50 lt,1 değişen,Takasa Uygun Değil,Sahibinden,290.000
1601,20829074,23 Ağustos 2022,Ford,Focus,1.6 TDCi Trend X,2010,254.000 km,Düz,Dizel,Hatchback/5,1560 cc,90 hp,Önden Çekiş,"4,7 lt",55 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,305.750
1602,20830128,23 Ağustos 2022,Volkswagen,Polo,1.6 TDi Comfortline,2010,247.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,90 hp,Önden Çekiş,"4,3 lt",45 lt,"1 değişen, 6 boyalı",Takasa Uygun Değil,Sahibinden,290.000
1603,20829963,23 Ağustos 2022,Renault,Megane,1.5 dCi Touch,2016,130.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"3,8 lt",49 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,464.000
1604,20831722,23 Ağustos 2022,Honda,Civic,1.6 i-VTEC Elegance,2018,59.000 km,Otomatik,LPG & Benzin,Sedan,1597 cc,125 hp,Önden Çekiş,"6,7 lt",47 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,627.000
1605,20832298,23 Ağustos 2022,BMW,3 Serisi,318Ci,2001,221.000 km,Otomatik,LPG & Benzin,Coupe,1895 cc,118 hp,Arkadan İtiş,"9,2 lt",63 lt,"3 değişen, 10 boyalı",Takasa Uygun Değil,Sahibinden,249.999
1606,20831580,23 Ağustos 2022,Hyundai,i20,1.4 CRDi Jump,2017,154.750 km,Düz,Dizel,Hatchback/5,1396 cc,90 hp,Önden Çekiş,"3,9 lt",45 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,355.000
1607,20829839,23 Ağustos 2022,Renault,Symbol,1.2 Joy,2015,118.000 km,Düz,Benzin,Sedan,1149 cc,75 hp,Önden Çekiş,6 lt,50 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,244.000
1608,20828839,23 Ağustos 2022,Opel,Astra,1.6 Sport,2011,172.500 km,Otomatik,Benzin,Hatchback/5,1598 cc,115 hp,Önden Çekiş,"7,1 lt",56 lt,"1 değişen, 5 boyalı",Takasa Uygun Değil,Sahibinden,305.000
1609,20822394,23 Ağustos 2022,Tofaş,Şahin,1.6,1997,10.000 km,Düz,LPG & Benzin,Sedan,1581 cc,601 HP ve üzeri,Arkadan İtiş,0 lt,52 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,87.000
1610,20830955,23 Ağustos 2022,Honda,Civic,1.4 Hybrid,2010,185.000 km,Otomatik,Hibrit,Sedan,1339 cc,115 hp,Önden Çekiş,"4,6 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,315.000
1611,20829203,23 Ağustos 2022,Fiat,Palio,1.6 HL Weekend,2000,181.000 km,Düz,Benzin,Station wagon,1581 cc,100 hp,Önden Çekiş,"8,3 lt",51 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,128.965
1612,20832433,23 Ağustos 2022,Hyundai,i20,1.4 MPI Elite Smart,2017,44.000 km,Otomatik,Benzin,Hatchback/5,1368 cc,100 hp,Önden Çekiş,"6,4 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,455.000
1613,20832250,23 Ağustos 2022,Mitsubishi,Space Star,1.2 CVT,2020,41.000 km,Otomatik,Benzin,Hatchback/5,1193 cc,80 hp,Önden Çekiş,"4,5 lt",35 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,395.000
1614,20830995,23 Ağustos 2022,Renault,Megane,1.4 Authentique,2007,171.000 km,Düz,LPG & Benzin,Sedan,1390 cc,98 hp,Önden Çekiş,"6,7 lt",60 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,210.000
1615,20830068,23 Ağustos 2022,Fiat,Linea,1.3 Multijet Active,2008,304.000 km,Düz,Dizel,Sedan,1248 cc,90 hp,Önden Çekiş,"4,9 lt",45 lt,11 boyalı,Takasa Uygun,Sahibinden,170.000
1616,20829379,23 Ağustos 2022,Renault,Megane,1.5 dCi Touch,2013,180.000 km,Yarı Otomatik,Dizel,Hatchback/5,1461 cc,110 hp,Önden Çekiş,"4,4 lt",60 lt,"1 değişen, 6 boyalı",Takasa Uygun Değil,Sahibinden,335.000
1617,20832180,23 Ağustos 2022,Fiat,Siena,1.6 HL,1999,225.000 km,Düz,LPG & Benzin,Sedan,1580 cc,101 hp,Önden Çekiş,0 lt,51 lt,11 boyalı,-,Sahibinden,89.000
1618,20832089,23 Ağustos 2022,Renault,Symbol,1.5 dCi Joy,2014,153.500 km,Düz,Dizel,Sedan,1461 cc,75 hp,Önden Çekiş,"3,9 lt",50 lt,4 boyalı,Takasa Uygun Değil,Sahibinden,246.000
1619,20831446,23 Ağustos 2022,Toyota,Corolla,1.3 XE,1995,208.000 km,Düz,LPG & Benzin,Sedan,1332 cc,88 hp,Önden Çekiş,0 lt,50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,116.000
1620,20831354,23 Ağustos 2022,Renault,Fluence,1.5 dCi Icon,2014,218.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"4,4 lt",60 lt,8 boyalı,Takasa Uygun,Sahibinden,338.000
1621,20830294,23 Ağustos 2022,Fiat,Palio,1.2 EL,2001,272.850 km,Düz,LPG & Benzin,Hatchback/5,1242 cc,74 hp,Önden Çekiş,"7,2 lt",51 lt,5 boyalı,Takasa Uygun Değil,Sahibinden,105.000
1622,20830276,23 Ağustos 2022,Ford,Focus,1.6 TDCi Trend X,2013,185.000 km,Düz,Dizel,Hatchback/5,1560 cc,95 hp,Önden Çekiş,"4,2 lt",53 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,360.000
1623,20830176,23 Ağustos 2022,Fiat,Egea,1.4 Fire Easy,2019,19.800 km,Düz,Benzin,Sedan,1368 cc,95 hp,Önden Çekiş,"5,7 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,339.000
1624,20831306,23 Ağustos 2022,Honda,City,1.5 i-VTEC Executive,2022,2.200 km,Otomatik,Benzin,Sedan,1498 cc,121 hp,Önden Çekiş,"6,2 lt",40 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,580.000
1625,20830832,23 Ağustos 2022,Suzuki,Swift,1.0 GL,1991,55.000 km,Otomatik,LPG & Benzin,Hatchback/5,993 cc,53 hp,Önden Çekiş,0 lt,40 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,84.500
1626,20830670,23 Ağustos 2022,Fiat,Linea,1.3 Multijet Pop,2015,119.400 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,9 lt",45 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,247.500
1627,20830136,23 Ağustos 2022,Tofaş,Doğan,1.6 ie,2000,178.000 km,Düz,LPG & Benzin,Sedan,1581 cc,83 hp,Arkadan İtiş,0 lt,0 lt,"1 değişen, 12 boyalı",Takasa Uygun Değil,Sahibinden,80.000
1628,20832037,23 Ağustos 2022,Peugeot,RCZ,1.6 THP Yearling,2011,180.000 km,Otomatik,Benzin,Coupe,1598 cc,158 hp,Önden Çekiş,"7,3 lt",55 lt,3 boyalı,Takasa Uygun,Sahibinden,380.000
1629,20831850,23 Ağustos 2022,Renault,Clio,1.5 dCi Joy,2015,122.000 km,Düz,Dizel,Hatchback/5,1461 cc,75 hp,Önden Çekiş,"3,6 lt",45 lt,1 değişen,Takasa Uygun Değil,Sahibinden,305.500
1630,20831509,23 Ağustos 2022,Volkswagen,Polo,1.4 TDi Trendline,2009,228.000 km,Düz,Dizel,Hatchback/5,1422 cc,70 hp,Önden Çekiş,"4,5 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,169.000
1631,20829191,23 Ağustos 2022,Toyota,Corolla,1.6 Vision,2020,35.000 km,Otomatik,LPG & Benzin,Sedan,1598 cc,132 hp,Önden Çekiş,"5,5 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,555.000
1632,20831393,23 Ağustos 2022,Citroen,C4,1.6 e-HDi Confort,2012,143.000 km,Yarı Otomatik,Dizel,Hatchback/5,1560 cc,114 hp,Önden Çekiş,"4,2 lt",60 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,328.000
1633,20830765,23 Ağustos 2022,Fiat,Linea,1.3 Multijet Pop,2014,187.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,9 lt",45 lt,"1 değişen, 3 boyalı",Takasa Uygun Değil,Sahibinden,241.000
1634,20828995,23 Ağustos 2022,BMW,5 Serisi,520d M Sport,2011,215.000 km,Otomatik,Dizel,Sedan,1995 cc,184 hp,Arkadan İtiş,"5,2 lt",70 lt,5 boyalı,Takasa Uygun Değil,Sahibinden,834.000
1635,20831811,23 Ağustos 2022,Renault,Clio,1.0 TCe Touch,2020,15.500 km,Düz,Benzin,Hatchback/5,999 cc,90 hp,Önden Çekiş,5 lt,42 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,405.000
1636,20830734,23 Ağustos 2022,Honda,Civic,1.5 i-VTEC Executive Plus,2021,300 km,Otomatik,Benzin,Sedan,1498 cc,182 hp,Önden Çekiş,"6,7 lt",47 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,945.000
1637,20830145,23 Ağustos 2022,Opel,Astra,1.3 CDTI Enjoy,2007,204.000 km,Düz,Dizel,Hatchback/5,1248 cc,90 hp,Önden Çekiş,"4,8 lt",52 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,267.000
1638,20832255,23 Ağustos 2022,Renault,Megane,1.6 Joy,2013,68.000 km,Otomatik,Benzin,Hatchback/5,1598 cc,115 hp,Önden Çekiş,"6,4 lt",60 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,357.500
1639,20829850,23 Ağustos 2022,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2016,106.500 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,110 hp,Önden Çekiş,"3,9 lt",50 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,515.000
1640,20831011,23 Ağustos 2022,Opel,Corsa,1.4 Twinport Enjoy,2016,104.000 km,Otomatik,Benzin,Hatchback/5,1364 cc,100 hp,Önden Çekiş,"5,9 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,349.000
1641,20830665,23 Ağustos 2022,Fiat,Egea,1.3 Multijet Easy,2016,97.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",45 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,320.000
1642,20829064,23 Ağustos 2022,Toyota,Corolla,1.4 Linea Terra,2005,361.000 km,Düz,LPG & Benzin,Hatchback/5,1398 cc,97 hp,Önden Çekiş,"6,8 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,179.000
1643,20828737,23 Ağustos 2022,Peugeot,207,1.4 HDi Active,2011,201.000 km,Düz,Dizel,Hatchback/5,1360 cc,71 hp,Önden Çekiş,"4,4 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,273.000
1644,20830007,23 Ağustos 2022,Hyundai,Accent Blue,1.6 CRDI Biz,2014,175.000 km,Otomatik,Dizel,Sedan,1582 cc,128 hp,Önden Çekiş,"5,6 lt",43 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,358.000
1645,20829755,23 Ağustos 2022,Fiat,Tipo,1.4 S,1997,262.000 km,Düz,LPG & Benzin,Hatchback/5,1372 cc,70 hp,Önden Çekiş,0 lt,55 lt,5 boyalı,Takasa Uygun,Sahibinden,90.000
1646,20830825,23 Ağustos 2022,Renault,Megane,1.4 Authentique,2004,221.000 km,Düz,Benzin,Hatchback/5,1390 cc,98 hp,Önden Çekiş,"6,7 lt",60 lt,2 boyalı,Takasa Uygun Değil,Sahibinden,173.000
1647,20831715,23 Ağustos 2022,Opel,Astra,1.4 Classic,2000,295.000 km,Düz,LPG & Benzin,Sedan,1389 cc,60 hp,Önden Çekiş,0 lt,52 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,120.000
1648,20830881,23 Ağustos 2022,Hyundai,Accent Era,1.5 CRDi-VGT Team,2010,156.000 km,Düz,Dizel,Sedan,1493 cc,110 hp,Önden Çekiş,"4,6 lt",45 lt,5 boyalı,Takasa Uygun Değil,Sahibinden,255.500
1649,20349781,23 Ağustos 2022,Renault,Clio,1.4 Expression,2005,178.250 km,Düz,LPG & Benzin,Sedan,1390 cc,75 hp,Önden Çekiş,"7,1 lt",50 lt,1 değişen,Takasa Uygun,Galeriden,162.500
1650,20414578,23 Ağustos 2022,Peugeot,301,1.6 HDi Access,2015,160.000 km,Düz,Dizel,Sedan,1560 cc,93 hp,Önden Çekiş,"4,3 lt",50 lt,Tamamı orjinal,Takasa Uygun,Galeriden,270.000
1651,20830601,23 Ağustos 2022,Hyundai,Getz,1.5 VGT Start,2009,230.000 km,Düz,Dizel,Hatchback/5,1493 cc,88 hp,Önden Çekiş,"4,5 lt",45 lt,"1 değişen, 7 boyalı",Takasa Uygun Değil,Sahibinden,187.500
1652,20829958,23 Ağustos 2022,Nissan,Micra,1.2 Match,2017,52.000 km,Otomatik,Benzin,Hatchback/5,1198 cc,80 hp,Önden Çekiş,"5,4 lt",41 lt,4 boyalı,Takasa Uygun Değil,Sahibinden,382.500
1653,20829307,23 Ağustos 2022,Fiat,Albea,1.3 Multijet SL,2004,337.000 km,Düz,Dizel,Sedan,1248 cc,70 hp,Önden Çekiş,"4,7 lt",48 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,165.000
1654,20830008,23 Ağustos 2022,BMW,3 Serisi,316i Comfort,2012,141.000 km,Otomatik,Benzin,Sedan,1598 cc,136 hp,Arkadan İtiş,"5,8 lt",60 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,565.000
1655,20830708,23 Ağustos 2022,Renault,Fluence,1.5 dCi Touch,2016,131.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"4,4 lt",60 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,355.000
1656,20830393,23 Ağustos 2022,Toyota,Corolla,1.5 Dream,2021,30.000 km,Otomatik,Benzin,Sedan,1490 cc,125 hp,Önden Çekiş,"5,8 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,570.000
1657,20831754,23 Ağustos 2022,Renault,Megane,1.4 Authentique,2006,211.000 km,Düz,LPG & Benzin,Sedan,1390 cc,98 hp,Önden Çekiş,"6,7 lt",60 lt,"1 değişen, 4 boyalı",Takasa Uygun Değil,Sahibinden,180.000
1658,20830758,23 Ağustos 2022,Citroen,Xsara,1.4 HDi,2004,286.000 km,Düz,Dizel,Hatchback/5,1398 cc,69 hp,Önden Çekiş,"4,5 lt",54 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,105.000
1659,20830479,23 Ağustos 2022,Fiat,Egea,1.4 Fire Street,2020,46.000 km,Düz,Benzin,Hatchback/5,1368 cc,95 hp,Önden Çekiş,"5,7 lt",50 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,370.000
1660,20830354,23 Ağustos 2022,Citroen,C4,1.6 HDi SX,2005,212.000 km,Düz,Dizel,Hatchback/5,1560 cc,111 hp,Önden Çekiş,"4,8 lt",60 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,189.500
1661,20828980,23 Ağustos 2022,Nissan,Note,1.6 Tekna,2009,133.178 km,Otomatik,Benzin,Hatchback/5,1598 cc,110 hp,Önden Çekiş,"6,8 lt",46 lt,"3 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,285.000
1662,20831615,23 Ağustos 2022,Fiat,Punto,1.3 Multijet Pop,2012,193.000 km,Düz,Dizel,Hatchback/5,1248 cc,75 hp,Önden Çekiş,"4,2 lt",45 lt,3 değişen,Takasa Uygun Değil,Sahibinden,215.000
1663,20830317,23 Ağustos 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2012,94.500 km,Otomatik,LPG & Benzin,Sedan,1595 cc,125 hp,Önden Çekiş,"6,7 lt",50 lt,2 boyalı,Takasa Uygun,Sahibinden,456.000
1664,20831873,23 Ağustos 2022,BMW,5 Serisi,525d xDrive Premium,2015,72.000 km,Otomatik,Dizel,Sedan,1995 cc,218 hp,4WD (Sürekli),"5,1 lt",70 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,1.800.000
1665,20830338,23 Ağustos 2022,Hyundai,i30,1.6 CRDi Style Plus,2010,230.000 km,Düz,Dizel,Hatchback/5,1582 cc,115 hp,Önden Çekiş,"4,7 lt",53 lt,"3 değişen, 5 boyalı",Takasa Uygun Değil,Sahibinden,206.000
1666,20829213,23 Ağustos 2022,Tofaş,Doğan,S,1995,200.000 km,Düz,LPG & Benzin,Sedan,1581 cc,83 hp,Arkadan İtiş,"6,5 lt",50 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,65.000
1667,20830433,23 Ağustos 2022,Opel,Corsa,1.4 Essentia,2015,48.800 km,Otomatik,Benzin,Hatchback/5,1398 cc,90 hp,Önden Çekiş,6 lt,45 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,375.000
1668,20829207,23 Ağustos 2022,Hyundai,i20,1.4 CRDi Jump,2013,167.000 km,Düz,Dizel,Hatchback/5,1396 cc,90 hp,Önden Çekiş,"4,3 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,268.000
1669,20828564,23 Ağustos 2022,Opel,Insignia,2.0 CDTI Cosmo,2013,253.000 km,Otomatik,Dizel,Sedan,1956 cc,160 hp,4WD (Sürekli),"6,2 lt",70 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,370.000
1670,20829347,23 Ağustos 2022,Dacia,Sandero,1.0 Stepway,2021,13.890 km,Düz,Benzin,Hatchback/5,999 cc,100 hp,Önden Çekiş,"4,4 lt",50 lt,Tamamı orjinal,Takasa Uygun Değil,Sahibinden,442.000
1671,20829171,23 Ağustos 2022,Fiat,Egea,1.3 Multijet Urban,2016,119.000 km,Düz,Dizel,Sedan,1248 cc,95 hp,Önden Çekiş,"4,1 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,348.000
1672,20831425,23 Ağustos 2022,Renault,Clio,1.5 dCi Touch,2014,87.000 km,Düz,Dizel,Hatchback/5,1461 cc,75 hp,Önden Çekiş,"3,6 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,347.250
1673,20830478,23 Ağustos 2022,Honda,Civic,1.4 S,1999,67.700 km,Düz,Benzin,Hatchback/5,1396 cc,90 hp,Önden Çekiş,"7,7 lt",55 lt,"1 değişen, 1 boyalı",Takasa Uygun Değil,Sahibinden,232.000
1674,20830442,23 Ağustos 2022,Tofaş,Doğan,SLX,1995,131.000 km,Düz,LPG & Benzin,Sedan,1581 cc,83 hp,Arkadan İtiş,0 lt,50 lt,Tamamı orjinal,Takasa Uygun,Sahibinden,145.000
1675,20829384,23 Ağustos 2022,Toyota,Corolla,1.4 D-4D Comfort,2009,252.000 km,Yarı Otomatik,Dizel,Sedan,1364 cc,90 hp,Önden Çekiş,"4,9 lt",55 lt,"1 değişen, 2 boyalı",Takasa Uygun Değil,Sahibinden,275.000
1676,20832059,23 Ağustos 2022,Renault,Fluence,1.5 dCi Touch,2015,135.000 km,Yarı Otomatik,Dizel,Sedan,1461 cc,110 hp,Önden Çekiş,"4,4 lt",60 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,347.500
1677,20831110,23 Ağustos 2022,Fiat,Albea,1.4 Fire Dynamic,2007,202.000 km,Düz,LPG & Benzin,Sedan,1368 cc,77 hp,Önden Çekiş,"6,1 lt",45 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,129.500
1678,20829681,23 Ağustos 2022,Kia,Rio,1.5 CRDi Trend,2009,180.000 km,Düz,Dizel,Hatchback/5,1493 cc,110 hp,Önden Çekiş,"4,7 lt",45 lt,8 boyalı,Takasa Uygun,Sahibinden,202.500
1679,20829605,23 Ağustos 2022,Honda,Civic,1.6 i-VTEC ECO Elegance,2015,79.500 km,Otomatik,LPG & Benzin,Sedan,1598 cc,125 hp,Önden Çekiş,"6,7 lt",50 lt,"1 değişen, 5 boyalı",Takasa Uygun,Sahibinden,525.000
1680,20831579,23 Ağustos 2022,Fiat,Stilo,1.6 Dynamic,2004,256.000 km,Düz,LPG & Benzin,Hatchback/5,1596 cc,103 hp,Önden Çekiş,"7,4 lt",58 lt,Belirtilmemiş,Takasa Uygun Değil,Sahibinden,135.000
1681,20832314,23 Ağustos 2022,Toyota,Corolla,1.4 D-4D Sol,2006,316.000 km,Düz,Dizel,Hatchback/5,1364 cc,90 hp,Önden Çekiş,"4,8 lt",55 lt,3 boyalı,Takasa Uygun Değil,Sahibinden,185.000
1682,20832290,23 Ağustos 2022,Hyundai,Accent Blue,1.6 CRDI Biz,2012,175.000 km,Otomatik,Dizel,Sedan,1582 cc,128 hp,Önden Çekiş,"5,6 lt",43 lt,1 boyalı,Takasa Uygun Değil,Sahibinden,315.000
1683,19891039,23 Ağustos 2022,Opel,Astra,1.6 CDTI Sport,2015,99.500 km,Düz,Dizel,Hatchback/5,1598 cc,136 hp,Önden Çekiş,"3,9 lt",56 lt,4 değişen,Takasa Uygun Değil,Sahibinden,369.999
1684,20404141,23 Ağustos 2022,Nissan,350 Z,Coupe,2004,135.000 km,Düz,Benzin,Coupe,3498 cc,280 hp,Arkadan İtiş,"11,4 lt",80 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,1.115.000
1685,20404065,23 Ağustos 2022,Seat,Ibiza,1.4 TSI Sport Coupe Cupra,2011,179.000 km,Yarı Otomatik,Benzin,Coupe,1390 cc,180 hp,Önden Çekiş,"6,4 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,375.000
1686,20404029,23 Ağustos 2022,Fiat,Punto,1.3 Multijet Pop,2012,275.000 km,Düz,Dizel,Hatchback/5,1248 cc,75 hp,Önden Çekiş,"4,2 lt",45 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,167.500
1687,20403293,23 Ağustos 2022,BMW,3 Serisi,320d xDrive Standart,2015,172.000 km,Otomatik,Dizel,Sedan,1995 cc,190 hp,4WD (Sürekli),"4,3 lt",57 lt,4 boyalı,Takasa Uygun Değil,Galeriden,785.000
1688,20403245,23 Ağustos 2022,BMW,3 Serisi,318i M Sport,2016,37.000 km,Otomatik,Benzin,Station wagon,1499 cc,136 hp,Arkadan İtiş,"5,3 lt",60 lt,"2 değişen, 7 boyalı",Takasa Uygun Değil,Galeriden,710.000
1689,20403124,23 Ağustos 2022,Volkswagen,Passat,1.6 TDi BlueMotion Trendline,2016,159.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,120 hp,Önden Çekiş,4 lt,66 lt,2 boyalı,Takasa Uygun Değil,Galeriden,630.000
1690,20832150,23 Ağustos 2022,BMW,3 Serisi,320d M Sport,2011,199.000 km,Otomatik,Dizel,Sedan,1995 cc,184 hp,Arkadan İtiş,"5,3 lt",60 lt,Belirtilmemiş,Takasa Uygun,Galeriden,545.000
1691,20405601,23 Ağustos 2022,Toyota,Corolla,1.4 D-4D Touch,2016,106.000 km,Yarı Otomatik,Dizel,Sedan,1364 cc,90 hp,Önden Çekiş,"4,1 lt",55 lt,3 boyalı,Takasa Uygun Değil,Galeriden,450.000
1692,20417242,23 Ağustos 2022,Opel,Astra,1.3 CDTI Enjoy Active,2014,173.000 km,Düz,Dizel,Hatchback/5,1248 cc,95 hp,Önden Çekiş,"4,1 lt",56 lt,"3 değişen, 3 boyalı",Takasa Uygun Değil,Sahibinden,319.000
1693,20832053,23 Ağustos 2022,Ford,Fiesta,1.4 TDCi Titanium,2011,246.000 km,Düz,Dizel,Hatchback/5,1398 cc,70 hp,Önden Çekiş,"4,2 lt",45 lt,"1 değişen, 5 boyalı",Takasa Uygun Değil,Sahibinden,225.000
1694,20374019,23 Ağustos 2022,Volkswagen,Golf,1.6 TDi BlueMotion Comfortline,2012,195.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,105 hp,Önden Çekiş,"3,9 lt",50 lt,"4 değişen, 6 boyalı",Takasa Uygun,Galeriden,375.000
1695,20831817,23 Ağustos 2022,Volkswagen,Jetta,1.6 TDi Comfortline,2015,155.000 km,Yarı Otomatik,Dizel,Sedan,1598 cc,105 hp,Önden Çekiş,"4,7 lt",55 lt,"3 değişen, 3 boyalı",Takasa Uygun,Galeriden,410.000
1696,20419896,23 Ağustos 2022,BMW,Z Serisi,Z4 3.0i sDrive,2022,0 km,Otomatik,Benzin,Roadster,1998 cc,258 hp,Arkadan İtiş,"6,1 lt",52 lt,Belirtilmemiş,Takasa Uygun Değil,Galeriden,2.725.000
1697,20831784,23 Ağustos 2022,Hyundai,Accent Era,1.5 CRDi-VGT Select,2008,233.000 km,Düz,Dizel,Sedan,1493 cc,110 hp,Önden Çekiş,"4,6 lt",45 lt,Belirtilmemiş,Takasa Uygun,Galeriden,138.000
1698,19959987,23 Ağustos 2022,Seat,Toledo,1.6 TDI Style,2014,190.000 km,Yarı Otomatik,Dizel,Hatchback/5,1598 cc,90 hp,Önden Çekiş,"4,5 lt",55 lt,Belirtilmemiş,Takasa Uygun,Sahibinden,400.000
1699,20422264,23 Ağustos 2022,Mercedes - Benz,S,S 400 Long,2018,75.204 km,Otomatik,Dizel,Sedan,2996 cc,333 hp,4WD (Sürekli),8 lt,70 lt,Tamamı orjinal,Takasa Uygun Değil,Galeriden,5.650.000
1700,20418678,23 Ağustos 2022,BMW,3 Serisi,316i Standart,2012,56.347 km,Otomatik,Benzin,Sedan,1598 cc,136 hp,Arkadan İtiş,"5,8 lt",60 lt,2 boyalı,Takasa Uygun Değil,Galeriden,655.000
